"(375, '1072660', 'U3277@C2519', 'C17693', 'C2519', 'U3277', 'C2519', None)"
"(538, '1099689', 'U1592@DOM1', 'C17693', 'C3758', 'U1592', 'DOM1', None)"
"(539, '1099711', 'U1592@DOM1', 'C17693', 'C1382', 'U1592', 'DOM1', None)"
"(540, '1099725', 'U1592@DOM1', 'C17693', 'C20677', 'U1592', 'DOM1', None)"
"(541, '1099816', 'U1592@DOM1', 'C17693', 'C18464', 'U1592', 'DOM1', None)"
"(545, '1100280', 'U1592@DOM1', 'C17693', 'C395', 'U1592', 'DOM1', None)"
"(546, '1100293', 'U1592@DOM1', 'C17693', 'C395', 'U1592', 'DOM1', None)"
"(79, '736582', 'U2837@DOM1', 'C17693', 'C89', 'U2837', 'DOM1', None)"
"(80, '736894', 'U2837@DOM1', 'C17693', 'C1484', 'U2837', 'DOM1', None)"
"(81, '736936', 'U2837@DOM1', 'C17693', 'C8490', 'U2837', 'DOM1', None)"
"(83, '737055', 'U2837@DOM1', 'C17693', 'C1784', 'U2837', 'DOM1', None)"
"(84, '737069', 'U2837@DOM1', 'C17693', 'C1784', 'U2837', 'DOM1', None)"
"(85, '737075', 'U2837@DOM1', 'C17693', 'C1784', 'U2837', 'DOM1', None)"
"(86, '737099', 'U2837@DOM1', 'C17693', 'C2519', 'U2837', 'DOM1', None)"
"(88, '737301', 'U2837@DOM1', 'C17693', 'C395', 'U2837', 'DOM1', None)"
"(239, '767187', 'U2837@DOM1', 'C17693', 'C395', 'U2837', 'DOM1', None)"
"(240, '767195', 'U2837@DOM1', 'C17693', 'C2519', 'U2837', 'DOM1', None)"
"(241, '767205', 'U2837@DOM1', 'C17693', 'C1784', 'U2837', 'DOM1', None)"
"(242, '767225', 'U2837@DOM1', 'C17693', 'C1784', 'U2837', 'DOM1', None)"
"(243, '767233', 'U2837@DOM1', 'C17693', 'C8490', 'U2837', 'DOM1', None)"
"(244, '767238', 'U2837@DOM1', 'C17693', 'C1484', 'U2837', 'DOM1', None)"
"(245, '767246', 'U2837@DOM1', 'C17693', 'C89', 'U2837', 'DOM1', None)"
"(455, '1078163', 'U6764@DOM1', 'C17693', 'C3019', 'U6764', 'DOM1', None)"
"(175, '759396', 'U3635@DOM1', 'C17693', 'C17806', 'U3635', 'DOM1', None)"
"(181, '760196', 'U3635@DOM1', 'C17693', 'C16467', 'U3635', 'DOM1', None)"
"(185, '760807', 'U3635@DOM1', 'C17693', 'C2816', 'U3635', 'DOM1', None)"
"(187, '761039', 'U3635@DOM1', 'C17693', 'C21664', 'U3635', 'DOM1', None)"
"(188, '761134', 'U3635@DOM1', 'C17693', 'C2085', 'U3635', 'DOM1', None)"
"(190, '761524', 'U3635@DOM1', 'C17693', 'C19444', 'U3635', 'DOM1', None)"
"(191, '762009', 'U3635@DOM1', 'C17693', 'C917', 'U3635', 'DOM1', None)"
"(192, '762157', 'U3635@DOM1', 'C17693', 'C917', 'U3635', 'DOM1', None)"
"(193, '762536', 'U3635@DOM1', 'C17693', 'C12682', 'U3635', 'DOM1', None)"
"(194, '762568', 'U3635@DOM1', 'C17693', 'C12682', 'U3635', 'DOM1', None)"
"(195, '762834', 'U3635@DOM1', 'C17693', 'C2091', 'U3635', 'DOM1', None)"
"(196, '762845', 'U3635@DOM1', 'C17693', 'C1506', 'U3635', 'DOM1', None)"
"(197, '763783', 'U3635@DOM1', 'C17693', 'C12512', 'U3635', 'DOM1', None)"
"(360, '1070146', 'U3635@DOM1', 'C17693', 'C1438', 'U3635', 'DOM1', None)"
"(487, '1086525', 'U3635@DOM1', 'C17693', 'C8209', 'U3635', 'DOM1', None)"
"(488, '1086539', 'U3635@DOM1', 'C17693', 'C8209', 'U3635', 'DOM1', None)"
"(593, '1172817', 'U3635@DOM1', 'C17693', 'C22766', 'U3635', 'DOM1', None)"
"(602, '1178234', 'U3635@DOM1', 'C17693', 'C8209', 'U3635', 'DOM1', None)"
